drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
VINBLASTINE SULFATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,CONTRAINDICATIONS: Vinblastine sulfate is contraindicated in patients who have significant granulocytopenia unless this is a result of the disease being treated. It should not be used in the presence of bacterial infections. Such infections must be brought under control prior to the initiation of therapy with vinblastine sulfate.,1981,0,0,False,0,,False,,,,
VINFLUNINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,,,185,0,0,False,0,,,,,,
MIRVETUXIMAB SORAVTANSINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,4 CONTRAINDICATIONS None. None. ( 4 ),252,0,0,False,0,,False,,,,
POLATUZUMAB VEDOTIN,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,False,4 CONTRAINDICATIONS None. None. ( 4 ),5750,0,0,False,0,,True,,,,
EZETIMIBE,Human African trypanosomiasis,NPC1,0.056255584674868714,4.0,INHIBITOR,62.3,False,"4 CONTRAINDICATIONS Ezetimibe and simvastatin tablets are contraindicated in the following conditions: • Concomitant administration of strong CYP3A4 inhibitors (e.g., itraconazole, ketoconazole, posaconazole, voriconazole, HIV protease inhibitors, boceprevir, telaprevir, erythromycin, clarithromycin, telithromycin, nefazodone, and cobicistat-containing products) [ see Warnings and Precautions ( 5.",36151,0,0,False,0,"5.0 (2025, Number of new reported cases of human African trypanosomiasis (T.b. gambiense))",False,,,,
OMALIZUMAB,Echinococcosis,IGHE,0.03145834562895533,4.0,INHIBITOR,61.3,True,"4 CONTRAINDICATIONS XOLAIR is contraindicated in patients with severe hypersensitivity reaction to XOLAIR or any ingredient of XOLAIR [see Warnings and Precautions (5.1) ] . Severe hypersensitivity reaction to XOLAIR or any ingredient of XOLAIR ( 4 , 5.1 )",10869,0,0,False,0,,True,,,,
INTERFERON GAMMA-1B,Buruli ulcer,IFNG,0.028166502014087096,4.0,AGONIST,61.1,False,,259,0,0,False,0,"No data (2022, Number of new reported cases of Buruli ulcer)",False,,,,
OMALIZUMAB,Onchocerciasis,IGHE,0.027329496559965798,4.0,INHIBITOR,61.1,True,"4 CONTRAINDICATIONS XOLAIR is contraindicated in patients with severe hypersensitivity reaction to XOLAIR or any ingredient of XOLAIR [see Warnings and Precautions (5.1) ] . Severe hypersensitivity reaction to XOLAIR or any ingredient of XOLAIR ( 4 , 5.1 )",10869,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",True,,,,
INTERFERON GAMMA-1B,Echinococcosis,IFNG,0.019469468270072822,4.0,AGONIST,60.8,False,,259,0,0,False,0,,False,,,,
LEVAMISOLE HYDROCHLORIDE,Onchocerciasis,ACE,0.020696471862343302,4.0,AGONIST,60.8,,,28,2,3,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
SECUKINUMAB,Mycetoma,IL17A,0.012196135204595159,4.0,INHIBITOR,60.5,False,4 CONTRAINDICATIONS COSENTYX is contraindicated in patients with a previous serious hypersensitivity reaction to secukinumab or to any of the excipients in COSENTYX. Cases of anaphylaxis and angioedema have been reported during treatment with COSENTYX [see Warnings and Precautions (5.2)] . Serious hypersensitivity to secukinumab or any excipients in COSENTYX. ( 4 ),4731,0,0,False,0,,False,,,,
IXEKIZUMAB,Mycetoma,IL17A,0.012196135204595159,4.0,INHIBITOR,60.5,False,"4 CONTRAINDICATIONS TALTZ is contraindicated in patients with a previous serious hypersensitivity reaction, such as anaphylaxis, to ixekizumab or to any of the excipients [see Warnings and Precautions ( 5.3 )] . Serious hypersensitivity reaction to ixekizumab or to any of the excipients. ( 4 )",1168,0,0,False,0,,True,,,,
BIMEKIZUMAB,Mycetoma,IL17A,0.012196135204595159,4.0,INHIBITOR,60.5,False,4 CONTRAINDICATIONS None. None. ( 4 ),3865,0,0,False,0,,True,,,,
CHLORZOXAZONE,Yaws,CA4,0.002771848910135263,4.0,OPENER,60.1,False,CONTRAINDICATIONS Chlorzoxazone is contraindicated in patients with known intolerance to the drug.,968,0,0,False,0,"33891.0 (2016, Number of cases of yaws reported)",False,,,,
LUCITANIB,Scabies,FLG,0.6790696224956302,2.0,INHIBITOR,57.2,,,26,0,0,False,0,,,,,,
TG100-801,Scabies,FLG,0.6790696224956302,2.0,INHIBITOR,57.2,,,,0,0,False,0,,,,,,
E-7090,Scabies,FLG,0.6790696224956302,2.0,INHIBITOR,57.2,,,,0,0,False,0,,,,,,
FGFR INHIBITOR DEBIO 1347,Scabies,FLG,0.6790696224956302,2.0,INHIBITOR,57.2,,,,0,0,False,0,,,,,,
HMPL-453,Scabies,FLG,0.6790696224956302,2.0,INHIBITOR,57.2,,,,0,0,False,0,,,,,,
MARIMASTAT,Lymphatic filariasis,MMP7,0.09239496367117545,3.0,INHIBITOR,48.7,,,,0,0,False,0,,,,,,
CENDAKIMAB,Schistosomiasis,IL13,0.08447659459582649,3.0,INHIBITOR,48.4,,,,0,0,False,0,,,,,,
ITEPEKIMAB,Schistosomiasis,IL33,0.07989071064000698,3.0,INHIBITOR,48.2,,,,0,0,False,0,,,,,,
CM-082,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,,0,0,False,0,,,,,,
CATEQUENTINIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,584,0,0,False,0,,,,,,
FAMITINIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,6,0,0,False,0,,,,,,
MASITINIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,25,0,0,False,0,,,,,,
CEDIRANIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,117,0,0,False,0,,,,,,
VATALANIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,6,0,0,False,0,,,,,,
SEMAXANIB,Schistosomiasis,KIT,0.07816100621227716,3.0,INHIBITOR,48.1,,,,0,0,False,0,,,,,,
PACLITAXEL POLIGLUMEX,Chagas disease,TUBA1B,0.07520950042833682,3.0,STABILISER,48.0,,,8,0,0,False,0,,,,,,
PLINABULIN,Chagas disease,TUBA1B,0.07520950042833682,3.0,INHIBITOR,48.0,,,17,0,0,False,0,,,,,,
LIGELIZUMAB,Echinococcosis,IGHE,0.03145834562895533,3.0,INHIBITOR,46.3,,,2,0,0,False,0,,,,,,
LIGELIZUMAB,Onchocerciasis,IGHE,0.027329496559965798,3.0,INHIBITOR,46.1,,,2,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
M-1095,Mycetoma,IL17A,0.012196135204595159,3.0,INHIBITOR,45.5,,,,0,0,False,0,,,,,,
